joke,semantic_word_1,semantic_word_2,semantic_word_3
i just asked my husband if he remembers what today is... scaring men is easy.,remembers,scaring,
"people used to laugh at me when i would say ""i want to be a comedian"", well nobody is laughing now.",laugh,nobody,
today a man knocked on my door and asked for a small donation towards the local swimming pool. i gave him a glass of water.,knocked,i,
my wife and i were happy for twenty years. then we met.,my,we,
"if i had a dollar for every girl that found me unattractive, they would eventually find me attractive.",every,me,
"just read that 4,153,237 people got married last year, not to cause any trouble but should not that be an even number?",any,,
you know you are ugly when it comes to a group picture and they hand you the camera.,you,,
a recent study has found that women who carry a little extra weight live longer than the men who mention it.,a little,who,
relationships are a lot like algebra. have you ever looked at your x and wondered y?,a lot,you,
life is all about perspective. the sinking of the titanic was a miracle to the lobsters in the ship's kitchen.,all,,
"intelligence is like an underwear. it is important that you have it, but not necessary that you show it off.",you,not,
"life is like toilet paper, you are either on a roll or taking shit from some asshole.",you,or,
is not it great to live in the 21st century? where deleting history has become more important than making it.,more,,
"feeling pretty proud of myself. the sesame street puzzle i bought said 3-5 years, but i finished it in 18 months.",myself,i,
"i want to die peacefully in my sleep, like my grandfather.. not screaming and yelling like the passengers in his car.",my,,
"when wearing a bikini, women reveal 90 % of their body... men are so polite they only look at the covered parts.",look at,,
"when my boss asked me who is the stupid one, me or him? i told him everyone knows he does not hire stupid people.",my,everyone,does not
my favorite mythical creature? the honest politician.,my,,
"i am great at multitasking. i can waste time, be unproductive, and procrastinate all at once.",i,all,
strong people do not put others down. they lift them up and slam them on the ground for maximum damage.,do not,lift,
"if you can smile when things go wrong, you have someone in mind to blame.",you,in mind,
"before i criticize a man, i like to walk a mile in his shoes. that way, when i do criticize him, i am a mile away and i have his shoes.",i,,
"the 50-50-90 rule: anytime you have a 50-50 chance of getting something right, there has / there is a 90% probability you shall / you will get it wrong.",you,wrong,
take my advice i am not using it.,my,not,
you know that tingly little feeling you get when you like someone? that has / that is your common sense leaving your body.,you,leaving,
how do i disable the autocorrect function on my wife?,i,,
"you are not fat, you are just... easier to see.",you,not,
i can totally keep secrets. it has / it is the people i tell them to that can't.,totally,can not,
apparently i snore so loudly that it scares everyone in the car i am driving.,i,everyone,
"politicians and diapers have one thing in common. they should both be changed regularly, and for the same reason.",one,same,
"when miley cyrus gets naked & licks a hammer, it has / it is ""art"" & ""music"". but when i do it, i am ""drunk"" and ""have to leave the hardware store"".",i,leave,
"that awkward moment when you leave a store without buying anything and all you can think is ""act natural, you are innocent"".",you,anything,
"alcohol is a perfect solvent: it dissolves marriages, families and careers.",,,
"if you think nobody cares whether you are alive, try missing a couple of payments.",you,nobody,
my therapist says i have a preoccupation with vengeance. we will see about that.,i,see,
"i used to think i was indecisive, but now i am not too sure.",i,not,
i think my neighbor is stalking me as she has / she is been googling my name on her computer. i saw it through my telescope last night.,me,saw,
"i have been repeating the same mistakes in life for so long now, i think i shall / i will start calling them traditions.",i,think,
"did you know that dolphins are so smart that within a few weeks of captivity, they can train people to stand on the very edge of the pool and throw them fish?",you,throw,
"when an employment application asks who is to be notified in case of emergency, i always write, ""a very good doctor"".",who,i,very
"i am not saying i hate you, but i would unplug your life support to charge my phone.",not,unplug,
money talks ...but all mine ever says is good-bye.,mine,,
team work is important; it helps to put the blame on someone else.,put,,
"i changed my password to ""incorrect"". so whenever i forget what it is, the computer will say ""your password is incorrect"".",my,your,
i bought a vacuum cleaner six months ago and so far all it has / it is been doing is gathering dust.,i,ago,
"there are two rules for success: firstly, do not tell all you know.",do not,you,
"i asked god for a bike, but i know god does not work that way. so i stole a bike and asked for forgiveness.",i,does not,
"i started out with nothing, and i still have most of it.",i,nothing,
"any married man should forget his mistakes, there has / there is no use in two people remembering the same thing.",no,same,
"my wife is so negative. i remembered the car seat, the stroller, and the diaper bag. yet all she can talk about is how i forgot the baby.",my,remembered,all
artificial intelligence is no match for natural stupidity.,no,,
funny how they say we need to talk when they really mean you need to listen.,how,you,
"two wrongs do not make a right, take your parents as an example.",do not,your,
never laugh at your girlfriends choices... you are one of them.,never,you,
entered what i ate today into my new fitness app and it just sent an ambulance to my house.,i,my,
love is telling someone to go to hell and worrying about them getting there safely.,go,,
"i sometimes watch birds and wonder ""if i could fly who would i shit on?""",watch,fly,
"the difference between ""girlfriend"" and ""girl friend"" is that little space in between we call the ""friend zone"".",between,we,
women spend more time wondering what men are thinking than men spend thinking.,thinking,,
my son asked me what it has / it is like to be married? so i told him to leave me alone and when he did i asked him why he was ignoring me.,me,leave,why
i hate when i am about to hug someone really sexy and my face hits the mirror.,i,hug,
if you see me smiling it has / it is because i am thinking of doing something evil or naughty. if you see me laughing it has / it is because i have already done it.,you,thinking,
if i wanted to kill myself i had / i would climb your ego and jump to your iq.,kill,your,
"thanks for explaining the word ""many"" to me, it means a lot.",me,,
good health is merely the slowest possible rate at which one can die.,,,
i had / i would like to see things from your point of view but i can not seem to get my head that far up my ass.,your,can not,
why is google a woman? because it will not let you finish your sentence without coming up with other suggestions.,why,,
when i call a family meeting i turn off the house wifi and wait for them all to come running.,i,all,
"if you are not supposed to eat at night, why is there a light bulb in the refrigerator?",not,why,
"dear alcohol, we had a deal where you would make me funnier, smarter, and a better dancer... i saw the video... we need to talk.",we,you,
"when i told the doctor about my loss of memory, he made me pay in advance.",i,my,
there are three kinds of people: those who can count and those who can't.,can,can not,
improve your memory by doing unforgettable things.,improve,,
"when i see ads on tv with smiling, happy housewives using a new cleaning product, the only thing i want to buy are the meds they must be on.",i,only,
a conclusion is the part where you got tired of thinking.,you,,
a good wife always forgives her husband when she has / she is wrong.,,,
"if i ever need a heart transplant, i had / i would want my ex's. it has / it is never been used.",,never,
my new year's resolution is to help all my friends gain ten pounds so i look skinnier.,my,all,
an optimist believes that we live in the best world. a pessimist is afraid that it might be true.,we,,
whatever you do always give 100 %. unless you are donating blood.,whatever,you,
do not argue with an idiot. he will drag you down to his level and beat you with experience.,not,drag,you
"let me make this simple, i want to be invited but i do not want to go.",i,do not,
"a straight face and a sincere-sounding ""huh?"" have gotten me out of more trouble than i can remember.",me,remember,
"a computer once beat me at chess, but it was no match for me at kick boxing.",me,no,boxing
"if procrastionation was an olympic sport, i had / i would compete in it later.",i,,
nothing ruins a friday more than an understanding that today is tuesday.,nothing,,
"i am a nobody, nobody is perfect, therefore i am perfect.",i,nobody,
"for maximum attention, nothing beats a good mistake.",nothing,,
"regular naps prevent old age, especially if you take them while driving.",you,driving,
"i asked my wife if she ever fantasizes about me, she said yes - about me taking out the trash, mowing the lawn, and doing the dishes.",my,yes,
never tell your problems to anyone … 20% do not care and the other 80% are glad you have them...,never,anyone,you
never test the depth of the water with both feet.,never,,
"my internet is so slow, it has / it is just faster to drive to the google headquarters and ask them shit in person.",my,drive,
i have not spoken to my wife for 18 months. i do not like to interrupt her.,my,do not,
want to get noticed? go jogging without moving your arms.,moving,,
